,toid,mean_depth,p90ile_depth,Class,Area
0,osgb0,0.003,0.005,A) Low,563
1,osgb1,0.004,0.008,A) Low,563
2,osgb2,0.164,0.257,B) Medium,137
3,osgb3,0.125,0.256,B) Medium,200
4,osgb4,0.015,0.037,A) Low,200
5,osgb5,0.051,0.168,A) Low,200
6,osgb6,0.025,0.075,A) Low,200
7,osgb7,0.034,0.07,A) Low,200
8,osgb8,0.011,0.021,A) Low,950
9,osgb9,0.02,0.026,A) Low,950
10,osgb10,0.002,0.003,A) Low,200
11,osgb11,0.003,0.005,A) Low,200
12,osgb12,0.013,0.039,A) Low,200
13,osgb13,0.005,0.005,A) Low,200
14,osgb14,0.003,0.004,A) Low,375
15,osgb15,0.004,0.006,A) Low,375
16,osgb16,0.113,0.383,C) High,1050
17,osgb17,0.014,0.017,A) Low,1050
18,osgb18,0.006,0.007,A) Low,18
19,osgb19,0.006,0.009,A) Low,350
20,osgb20,0.007,0.012,A) Low,350
21,osgb21,0.01,0.01,A) Low,350
22,osgb22,0.024,0.046,A) Low,200
23,osgb23,0.037,0.07,A) Low,200
24,osgb24,0.008,0.013,A) Low,200
25,osgb25,0.005,0.008,A) Low,350
26,osgb26,0.006,0.009,A) Low,350
27,osgb27,0.008,0.027,A) Low,350
28,osgb28,0.008,0.012,A) Low,375
29,osgb29,0.024,0.041,A) Low,950
30,osgb30,0.027,0.083,A) Low,200
31,osgb31,0.01,0.01,A) Low,200
32,osgb32,0.006,0.007,A) Low,200
33,osgb33,0.003,0.005,A) Low,950
34,osgb34,0.027,0.04,A) Low,200
35,osgb35,0.009,0.012,A) Low,200
36,osgb36,0.004,0.006,A) Low,375
37,osgb37,0.017,0.022,A) Low,18
38,osgb38,0.002,0.003,A) Low,200
39,osgb39,0.006,0.009,A) Low,200
40,osgb40,0.008,0.018,A) Low,200
41,osgb41,0.004,0.006,A) Low,200
42,osgb42,0.011,0.023,A) Low,200
43,osgb43,0.047,0.094,A) Low,200
44,osgb44,0.025,0.041,A) Low,1050
45,osgb45,0.037,0.07,A) Low,375
46,osgb46,0.007,0.012,A) Low,375
47,osgb47,0.015,0.022,A) Low,350
48,osgb48,0.009,0.014,A) Low,350
49,osgb49,0.09,0.29,A) Low,200
50,osgb50,0.003,0.004,A) Low,200
51,osgb51,0.004,0.01,A) Low,200
52,osgb52,0.003,0.004,A) Low,200
53,osgb53,0.018,0.026,A) Low,200
54,osgb54,0.006,0.008,A) Low,200
55,osgb55,0.002,0.003,A) Low,200
56,osgb56,0.002,0.004,A) Low,200
57,osgb57,0.005,0.008,A) Low,200
58,osgb58,0.01,0.015,A) Low,200
59,osgb59,0.012,0.023,A) Low,200
60,osgb60,0.003,0.005,A) Low,200
61,osgb61,0.005,0.006,A) Low,200
62,osgb62,0.045,0.058,A) Low,200
63,osgb63,0.002,0.004,A) Low,200
64,osgb64,0.004,0.004,A) Low,200
65,osgb65,0.003,0.004,A) Low,200
66,osgb66,0.006,0.009,A) Low,200
67,osgb67,0.008,0.013,A) Low,200
68,osgb68,0.002,0.003,A) Low,200
69,osgb69,0.01,0.013,A) Low,200
70,osgb70,0.009,0.012,A) Low,200
71,osgb71,0.144,0.251,B) Medium,200
72,osgb72,0.003,0.005,A) Low,200
73,osgb73,0.011,0.009,A) Low,200
74,osgb74,0.086,0.213,A) Low,200
75,osgb75,0.055,0.172,A) Low,200
76,osgb76,0.064,0.112,A) Low,200
77,osgb77,0.026,0.062,A) Low,350
78,osgb78,0.013,0.008,A) Low,350
79,osgb79,0.056,0.198,A) Low,375
80,osgb80,0.019,0.03,A) Low,950
81,osgb81,0.003,0.004,A) Low,200
82,osgb82,0.005,0.005,A) Low,200
83,osgb83,0.125,0.324,C) High,200
84,osgb84,0.023,0.066,A) Low,200
85,osgb85,0.105,0.208,B) Medium,200
86,osgb86,0.013,0.014,A) Low,200
87,osgb87,0.044,0.096,A) Low,375
88,osgb88,0.005,0.007,A) Low,200
89,osgb89,0.008,0.021,A) Low,200
90,osgb90,0.008,0.03,A) Low,350
91,osgb91,0.014,0.029,A) Low,350
92,osgb92,0.006,0.006,A) Low,375
93,osgb93,0.009,0.016,A) Low,375
94,osgb94,0.015,0.055,A) Low,375
95,osgb95,0.006,0.01,A) Low,375
96,osgb96,0.028,0.052,A) Low,375
97,osgb97,0.017,0.02,A) Low,375
98,osgb98,0.006,0.009,A) Low,375
99,osgb99,0.039,0.085,A) Low,375
100,osgb100,0.025,0.046,A) Low,832
101,osgb101,0.006,0.01,A) Low,350
102,osgb102,0.022,0.069,A) Low,350
103,osgb103,0.01,0.027,A) Low,350
104,osgb104,0.005,0.009,A) Low,350
105,osgb105,0.032,0.093,A) Low,350
106,osgb106,0.017,0.059,A) Low,350
107,osgb107,0.004,0.006,A) Low,350
108,osgb108,0.07,0.161,A) Low,350
109,osgb109,0.006,0.008,A) Low,200
110,osgb110,0.007,0.01,A) Low,200
111,osgb111,0.016,0.025,A) Low,200
112,osgb112,0.006,0.005,A) Low,375
113,osgb113,0.021,0.044,A) Low,375
114,osgb114,0.002,0.002,A) Low,350
115,osgb115,0.032,0.074,A) Low,350
116,osgb116,0.005,0.007,A) Low,350
117,osgb117,0.012,0.024,A) Low,350
118,osgb118,0.014,0.016,A) Low,350
119,osgb119,0.005,0.007,A) Low,350
120,osgb120,0.005,0.007,A) Low,350
121,osgb121,0.003,0.004,A) Low,350
122,osgb122,0.007,0.012,A) Low,375
123,osgb123,0.01,0.014,A) Low,375
124,osgb124,0.105,0.298,B) Medium,375
125,osgb125,0.004,0.004,A) Low,375
126,osgb126,0.071,0.182,A) Low,375
127,osgb127,0.003,0.004,A) Low,375
128,osgb128,0.011,0.017,A) Low,200
129,osgb129,0.01,0.017,A) Low,200
130,osgb130,0.013,0.016,A) Low,200
131,osgb131,0.084,0.303,B) Medium,350
